attributeName	code	definition
Treatment	None	no litter was added to the pot
Treatment	Low	low litter was added to the pot (0.91 g/pot; 50 g/m2)
Treatment	Med	medium litter was added to the pot (1.82 g/pot; 100 g/m2)
Treatment	High	high litter was added to the pot (3.64 g/pot; 200 g/m2)
Treatment	Shade	medium litter was added to the pot (1.82 g/pot; 100 g/m2) and the pot was placed under an additional shade tent. This treatment was omitted from the manuscript.
SpPresent	Mv	fifty seeds of Microstegium vimineum were planted in the pot.
SpPresent	Ev	fifty seeds of Elymus virginicus were planted in the pot.
SpPresent	Ev+Mv	fifty seeds each of Microstegium vimineum and Elymus virginicus were planted in the pot.
Notes	not to be used for germination data	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	1 mv with insect damage	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	could be dead leaf	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	thinned Mv	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	thinned Mv 7/6	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	herbivory	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	3 could be herbivory not infection	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	hard to tell if infection or something else	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	duct tape damage to a couple of plants	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	other damage due to herbivory and sun? as well	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	mushrooms growing. One Mv may have a had 1 spot	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"accidentally pulled 1 Ev (included in total), 1 lesion/1 leaf/1 plant"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	1 lesion/1 leaf/1 plant	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"some Ev have lesions, but the leaves are small and crowded, so it was hard to know if it is infection and count"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
